timestamp,experiment_id,experiment_type,temperature_c,oxygen_percent,humidity_percent,radiation_level,nutrient_level,ph_level,pressure_kpa,cell_growth_rate,viability_score,contamination_score,mission_outcome
01-02-2026 09:30,BIO-2019,Protein Synthesis,37.86,21.57,70.75,0.096,78.22,7.04,110.47,3.89,89.96,10.09,Success
01-02-2026 10:00,BIO-2020,Tissue Engineering,33.91,21.5,44,0.788,71.3,7.32,102.61,1.99,74.67,15.19,Success
01-02-2026 10:30,BIO-2021,Stem Cell Research,35.51,21.76,61.97,0.549,79.66,6.86,101.63,2.27,59.1,10.55,Failure
01-02-2026 11:00,BIO-2022,Drug Discovery,39.13,26.71,57.93,0.569,73.78,7.3,99.42,3.21,67.73,19.8,Failure
01-02-2026 11:30,BIO-2023,Radiation Biology,36.7,18.67,69.9,0.512,84.54,7.37,107.09,3.59,70.86,8.7,Success
01-02-2026 12:00,BIO-2024,Radiation Biology,33.33,14.38,59.18,0.361,54.89,7.55,100.73,2.47,68.35,9.99,Failure
01-02-2026 12:30,BIO-2025,Tissue Engineering,38.4,24.44,59.12,0.731,67.77,7.22,97.04,2.06,69.85,12.12,Failure
01-02-2026 13:00,BIO-2026,Stem Cell Research,38.45,16.95,52.97,0.375,81.01,7.71,103.61,1.39,68.23,13.41,Failure
01-02-2026 13:30,BIO-2027,Radiation Biology,29.62,22.25,56.84,0.284,80.61,7.43,99.85,2.08,84.26,28.17,Failure
01-02-2026 14:00,BIO-2028,Drug Discovery,36.64,15.26,65.77,0.854,82.05,7.26,92.19,3.03,65.73,13.21,Failure
01-02-2026 14:30,BIO-2029,Protein Synthesis,35.98,19.1,32.54,0.096,75.63,7.11,99.53,3.88,90.83,8.94,Success
01-02-2026 15:00,BIO-2030,Radiation Biology,38.5,23.28,64.93,3.648,86.93,7.29,94.86,2.36,36.9,44.71,Failure
01-02-2026 15:30,BIO-2031,Radiation Biology,41.35,16.92,44.94,0.454,71.99,7.21,97.62,1.06,67.32,12.73,Failure
01-02-2026 16:00,BIO-2032,Stem Cell Research,37.87,20.37,51.35,0.648,77.16,7.08,98.16,3.19,71.92,15.82,Success
01-02-2026 16:30,BIO-2033,Stem Cell Research,38.05,21.83,37.48,3.484,91.97,7.33,94.94,4.02,42.14,27.32,Failure
01-02-2026 17:00,BIO-2034,Drug Discovery,40.06,27.56,38.86,0.818,52.06,7.57,101.37,2.25,68.87,9.79,Failure
01-02-2026 17:30,BIO-2035,Radiation Biology,36.27,21.98,58.32,0.661,98.01,7.17,98.55,2.67,71.67,17.71,Success
01-02-2026 18:00,BIO-2036,Tissue Engineering,37.97,22.15,57.4,3.759,81.75,7.44,106.53,3.57,43.37,27.82,Failure
01-02-2026 18:30,BIO-2037,Stem Cell Research,34.82,19.25,69.34,0.42,67.12,7.31,101.2,2.48,75.02,14.3,Success
01-02-2026 19:00,BIO-2038,Stem Cell Research,39.26,25.8,61.61,0.19,101.78,7.38,106.85,3.32,76.94,14.22,Success
01-02-2026 19:30,BIO-2039,Drug Discovery,37.71,15.84,68.2,0.488,50.82,7.09,99.64,2.47,78.3,12.13,Success
01-02-2026 20:00,BIO-2040,Tissue Engineering,39.65,21.3,54.65,0.606,80.31,7.19,86.5,2.46,64.46,11.91,Failure
01-02-2026 20:30,BIO-2041,Radiation Biology,37.61,25.03,52.95,2.48,,7.06,104.15,2.5,37.95,24.54,Failure
01-02-2026 21:00,BIO-2042,Protein Synthesis,36.46,14.58,39.96,3.518,76.07,7.04,110.81,2.41,25.82,36.28,Failure
01-02-2026 21:30,BIO-2043,Radiation Biology,34.33,20.75,72.41,0.424,86.52,7.79,95.04,3.35,76.53,14.75,Success
01-02-2026 22:00,BIO-2044,Tissue Engineering,37.65,27.5,76.14,0.32,54.72,7.59,100.32,1,59.75,9.08,Failure
01-02-2026 22:30,BIO-2045,Protein Synthesis,35.58,14.44,40.25,0.807,59.56,7.2,97.89,1.09,72.4,11.46,Failure
01-02-2026 23:00,BIO-2046,Drug Discovery,31.69,18.1,54.1,4.473,68.27,7.4,104,1.1,36.79,37.19,Failure
01-02-2026 23:30,BIO-2047,Drug Discovery,34.49,29.42,58.77,0.886,70.69,7.2,104.32,2.88,59.82,21.46,Failure
02-02-2026 00:00,BIO-2048,Protein Synthesis,34.76,23.42,49.45,0.279,69.24,7.4,107.34,2.07,57.26,17.31,Failure
02-02-2026 00:30,BIO-2049,Protein Synthesis,39.9,,70.9,0.582,91.02,7.39,100.47,3.37,67.49,18.5,Failure
02-02-2026 01:00,BIO-2050,Drug Discovery,38.07,24.03,78.17,0.029,52.24,7.39,107.15,2.1,70.28,15.17,Success
02-02-2026 01:30,BIO-2051,Radiation Biology,39.69,18.66,42.92,0.526,99.29,7.36,99.89,3.97,67.58,18.32,Failure
02-02-2026 02:00,BIO-2052,Drug Discovery,37.07,30.59,74.51,0.738,89.15,7.32,96.94,4.08,70.36,12.61,Success
02-02-2026 02:30,BIO-2053,Radiation Biology,35.45,23.78,70.99,0.69,78.58,7.56,106.68,3.93,78.83,7.76,Success
02-02-2026 03:00,BIO-2054,Stem Cell Research,38.46,16.41,65.34,2.128,67.9,7.56,97.99,2.15,26.74,37.02,Failure
02-02-2026 03:30,BIO-2055,Stem Cell Research,39.26,27.71,52.66,0.091,76.83,7.43,106.96,2.87,78.98,19.44,Success
02-02-2026 04:00,BIO-2056,Protein Synthesis,37.24,24.2,75.25,0.37,65.64,7.75,100.87,1.94,62.93,9.98,Failure
02-02-2026 04:30,BIO-2057,Drug Discovery,31.94,16.17,47.3,0.942,99.47,7.21,93.68,2.54,66.63,20.63,Failure
02-02-2026 05:00,BIO-2058,Tissue Engineering,41.14,20.81,85,0.414,79.76,7.31,95.2,3.22,64.24,17.72,Failure
02-02-2026 05:30,BIO-2059,Tissue Engineering,36.27,24.85,71.46,0.63,77.5,7.57,107.28,3.26,72.89,8.28,Success
02-02-2026 06:00,BIO-2060,Protein Synthesis,37.29,19.77,52.61,3.086,80.42,7.57,102,2.38,34.47,37.35,Failure
02-02-2026 06:30,BIO-2061,Tissue Engineering,39.81,13.2,44.18,1.003,71.45,7.55,109.1,3.46,76.33,17.46,Success
02-02-2026 07:00,BIO-2062,Stem Cell Research,36.48,22.2,51.8,0.444,79.52,7.34,105.37,3.37,82.52,6.65,Success
02-02-2026 07:30,BIO-2063,Stem Cell Research,37.98,23.99,62.73,2.504,71.54,8.19,99.02,2.59,32.6,40.78,Failure
02-02-2026 08:00,BIO-2064,Tissue Engineering,39.77,17.26,57.21,0.718,84.43,7.35,103.39,3.81,75.06,24.85,Failure
02-02-2026 08:30,BIO-2065,Stem Cell Research,38.44,27.43,53.28,0.546,77.57,7.3,94.41,2.26,63.94,8.37,Failure
02-02-2026 09:00,BIO-2066,Radiation Biology,36.02,24.69,60.63,3.59,63.15,7.08,103.45,3.14,33.91,41.91,Failure
02-02-2026 09:30,BIO-2067,Radiation Biology,37.04,19.54,54.73,0.24,67.26,7.54,98.76,2.63,79.93,4.12,Success
02-02-2026 10:00,BIO-2068,Stem Cell Research,38.05,14.12,69.35,0.466,78.45,7.42,98.23,4.16,93.93,18,Success
02-02-2026 10:30,BIO-2069,Tissue Engineering,35.63,21,58.79,3.922,61.19,7.34,94.4,3.28,53.9,37.06,Failure
02-02-2026 11:00,BIO-2070,Stem Cell Research,41.01,16.17,63.3,0.852,58.36,6.76,99.27,2.4,64.21,17.75,Failure
02-02-2026 11:30,BIO-2071,Tissue Engineering,35.72,17.18,78.37,0.806,66.38,7.19,110.95,2.63,77.11,13.6,Success
02-02-2026 12:00,BIO-2072,Tissue Engineering,39.61,25.58,90.39,0.478,80.93,7.44,96.86,2.17,55.47,20.11,Failure
02-02-2026 12:30,BIO-2073,Tissue Engineering,35.95,16.33,68.57,0.596,96.73,7.52,99.85,3.28,74.52,16.2,Success
02-02-2026 13:00,BIO-2074,Protein Synthesis,36.25,26.72,47.85,3.388,92.18,7.25,102.59,5.62,56.45,46.47,Failure
02-02-2026 13:30,BIO-2075,Radiation Biology,35.27,21.54,87.67,0.587,68.49,6.88,101.25,1.54,61.58,19.87,Failure
02-02-2026 14:00,BIO-2076,Radiation Biology,39.97,28.07,55.85,0.721,89.81,7.26,104.4,4.32,74.18,21.17,Success
02-02-2026 14:30,BIO-2077,Protein Synthesis,36.77,16.54,63.9,0.732,57.2,7.35,108.57,1.53,63.83,13.87,Failure
02-02-2026 15:00,BIO-2078,Radiation Biology,33.72,24.41,55.97,0.985,76.78,7.64,110.72,2.23,64.89,15.13,Failure
02-02-2026 15:30,BIO-2079,Radiation Biology,39.53,23.28,,-0.01,70.01,7.38,97.67,3.65,71.61,14.46,Success
02-02-2026 16:00,BIO-2080,Protein Synthesis,37.85,22.89,59.01,0.893,60.24,7.59,99.01,2.14,76.6,15.34,Success
02-02-2026 16:30,BIO-2081,Stem Cell Research,36.62,20.55,70.61,0.482,91.3,7.05,96.95,4.69,85.07,12.13,Success
02-02-2026 17:00,BIO-2082,Tissue Engineering,39.88,15.89,63.45,3.9,61.67,7.01,105.14,2.71,29.91,35.63,Failure
02-02-2026 17:30,BIO-2083,Drug Discovery,34.13,27.51,61.01,0.781,56.12,7.47,111,2.01,63.06,17.62,Failure
02-02-2026 18:00,BIO-2084,Protein Synthesis,38.6,19.12,52.01,0.892,54.46,7.32,102.26,3.3,73.47,13.07,Success
02-02-2026 18:30,BIO-2085,Stem Cell Research,42.38,20.1,58.09,0.523,70.64,7.48,97.71,1.76,64.76,22.57,Failure
02-02-2026 19:00,BIO-2086,Stem Cell Research,37.2,20.8,74.83,0.78,70.91,7.31,105.35,3.16,71.94,9.11,Success
02-02-2026 19:30,BIO-2087,Radiation Biology,33.7,13.27,55.8,0.759,91.05,7.07,103.35,2.22,63.27,20.14,Failure
02-02-2026 20:00,BIO-2088,Drug Discovery,34.94,14.88,59.72,0.285,66.91,7.69,107.58,3.51,79.74,12.04,Success
02-02-2026 20:30,BIO-2089,Drug Discovery,36.38,23.08,57.54,0.37,83.49,7.6,102.67,3.74,82.44,15.59,Success
02-02-2026 21:00,BIO-2090,Tissue Engineering,37.14,19.71,62.48,0.826,78.52,7.17,96.3,3.37,64.52,10.96,Failure
02-02-2026 21:30,BIO-2091,Protein Synthesis,38.65,23.85,51.13,0.409,63.64,7.13,93.92,2.53,67.94,12.31,Failure
02-02-2026 22:00,BIO-2092,Protein Synthesis,35.68,19.43,54.3,0.506,101.85,7.62,101.22,3.74,81.7,9.85,Success
02-02-2026 22:30,BIO-2093,Tissue Engineering,32.19,24.37,73.32,0.502,78.16,7.28,103.17,3.16,78.71,22.61,Failure
02-02-2026 23:00,BIO-2094,Drug Discovery,34.68,20.26,67.47,0.811,70.37,7.07,108.25,1.93,73.91,22.11,Failure
02-02-2026 23:30,BIO-2095,Tissue Engineering,40.77,21,49.22,0.643,82.99,7.48,101.19,3.65,71.9,16.06,Success
03-02-2026 00:00,BIO-2096,Protein Synthesis,38.87,20.45,64.75,0.886,92.49,7.13,113.48,3.85,72.76,17.56,Success
03-02-2026 00:30,BIO-2097,Protein Synthesis,37.56,15.39,55.03,0.459,72.57,6.91,101.05,3.14,75.41,3.92,Success
03-02-2026 01:00,BIO-2098,Protein Synthesis,37.51,21.45,64.52,0.447,97.88,7.34,104,3.43,80.43,4,Success
03-02-2026 01:30,BIO-2099,Radiation Biology,36.44,20.08,72.56,2.418,84.33,6.88,105.17,4.72,47.98,39.21,Failure
03-02-2026 02:00,BIO-2100,Radiation Biology,36.24,17.12,71.89,0.948,70.25,7.23,100.11,2.98,66.21,17.26,Failure
03-02-2026 02:30,BIO-2101,Drug Discovery,40.49,22.06,56.97,0.633,84.55,7.4,95.82,3.18,83.14,16.05,Success
03-02-2026 03:00,BIO-2102,Protein Synthesis,37.09,21.15,51.71,0.99,76.88,7.18,98.62,3.46,69.35,10.47,Failure
03-02-2026 03:30,BIO-2103,Drug Discovery,41.1,20.7,58.09,0.438,65.95,7.4,95.9,1.94,75.6,18.2,Success
03-02-2026 04:00,BIO-2104,Stem Cell Research,35.89,22.4,58.42,0.447,56.26,7.39,106.33,1.3,69.71,5.6,Failure
03-02-2026 04:30,BIO-2105,Drug Discovery,34.25,17.1,57.53,0.847,110.98,7.35,108.37,5.16,78.9,21.65,Success
03-02-2026 05:00,BIO-2106,Radiation Biology,36.68,18.16,58.93,0.858,48,7.4,99.35,0.57,57.8,16.37,Failure
03-02-2026 05:30,BIO-2107,Stem Cell Research,38.6,21.15,50.72,2.857,93.07,7.5,102.67,3.76,39.53,35.25,Failure
03-02-2026 06:00,BIO-2108,Stem Cell Research,32.37,14.99,54.75,3.848,87.92,7.07,103.4,2.18,41.4,58.17,Failure
03-02-2026 06:30,BIO-2109,Protein Synthesis,37.39,19.43,62.51,0.33,61.07,7.12,98.18,3.57,85.46,11.09,Success
03-02-2026 07:00,BIO-2110,Stem Cell Research,41.25,22.36,69.24,3.348,51.07,7.21,105.9,0.93,48.97,52.8,Failure
03-02-2026 07:30,BIO-2111,Drug Discovery,37.17,23.64,50.55,0.205,69.27,7.43,101.54,3.53,81.75,9.24,Success
03-02-2026 08:00,BIO-2112,Protein Synthesis,40.54,14.19,,2.582,67.71,7.2,97.65,0.89,38.6,30.44,Failure
03-02-2026 08:30,BIO-2113,Radiation Biology,38.33,20.21,58.21,0.496,84.76,7.33,108.87,4.16,84.8,5.06,Success
03-02-2026 09:00,BIO-2114,Tissue Engineering,36.82,21.41,63,0.407,57,7.59,99.8,1.11,71.09,13.28,Failure
03-02-2026 09:30,BIO-2115,Tissue Engineering,36.25,23.9,56.72,0.417,70.42,7.48,106.44,1.39,68.47,20.28,Failure
03-02-2026 10:00,BIO-2116,Stem Cell Research,37.94,22.35,53.92,0.514,106.01,7.28,107.63,3.62,83.63,13.73,Success
03-02-2026 10:30,BIO-2117,Radiation Biology,33.78,21.41,77.38,0.758,85.39,7.35,95.83,4.37,75.4,14.82,Success
03-02-2026 11:00,BIO-2118,Protein Synthesis,36.47,12.1,62.42,0.888,71.37,7.48,98.62,3.01,70.69,16.87,Success
03-02-2026 11:30,BIO-2119,Drug Discovery,39.45,21.23,54.82,0.702,59.69,7.1,100.1,2.25,67.63,11.07,Failure
03-02-2026 12:00,BIO-2120,Radiation Biology,41.15,21.48,64.43,0.476,85.41,7.12,103.74,2.19,72.38,26.78,Failure
03-02-2026 12:30,BIO-2121,Drug Discovery,38.37,18.13,68.38,0.785,81.06,7.25,98.37,2.73,76.44,14.29,Success
03-02-2026 13:00,BIO-2122,Tissue Engineering,36.36,22.11,,0.885,70.12,7.22,88.14,2.98,69.72,8.57,Failure
03-02-2026 13:30,BIO-2123,Drug Discovery,38.63,21.35,69.87,0.669,86.42,7.41,104.23,3.11,75.4,15.86,Success
03-02-2026 14:00,BIO-2124,Protein Synthesis,40.35,24.31,49.7,0.414,82.12,7.64,99.33,3.35,69.93,5.38,Failure
03-02-2026 14:30,BIO-2125,Radiation Biology,37.35,24.3,57.79,0.86,58.6,7.44,102.92,2.3,79.61,10.61,Success
03-02-2026 15:00,BIO-2126,Drug Discovery,34.92,20.31,63.73,0.06,84.96,7.17,96.27,2.61,79.57,9.89,Success
03-02-2026 15:30,BIO-2127,Protein Synthesis,32.83,23.25,46.79,0.283,110.85,7.2,97.94,3.79,79.94,21.32,Success
03-02-2026 16:00,BIO-2128,Drug Discovery,37.2,19.7,43.07,0.534,78.48,7.68,103.46,2.87,71.67,11.28,Success
03-02-2026 16:30,BIO-2129,Stem Cell Research,38.27,,67.2,0.499,77.05,7.48,107.31,2.41,59.99,13.55,Failure
03-02-2026 17:00,BIO-2130,Stem Cell Research,39.54,27.25,66.76,0.647,99.74,7.11,109.13,3.51,83.54,19.56,Success
03-02-2026 17:30,BIO-2131,Radiation Biology,42.15,19.56,,0.965,74.71,7.07,104.25,1.46,74.86,29.85,Failure
03-02-2026 18:00,BIO-2132,Drug Discovery,32.89,18.44,52.49,0.674,81.81,7.6,110.58,2.92,65.61,17.09,Failure
03-02-2026 18:30,BIO-2133,Drug Discovery,36.22,27.76,58.83,0.35,76.15,7.35,106.76,2.82,82.44,14.43,Success
03-02-2026 19:00,BIO-2134,Stem Cell Research,38.36,22.94,67.42,0.863,84.26,7.1,105.75,2.28,66.44,13.81,Failure
03-02-2026 19:30,BIO-2135,Radiation Biology,36.87,23.6,55.35,3.238,53.99,7.3,106.96,2.39,39.51,29.3,Failure
03-02-2026 20:00,BIO-2136,Drug Discovery,36.29,19.95,72.28,3.719,61.71,7.52,93.09,2.15,63.9,35.3,Failure
03-02-2026 20:30,BIO-2137,Protein Synthesis,37.64,18.61,60.1,0.114,88.12,7.28,97.56,3.47,78.94,8.48,Success
03-02-2026 21:00,BIO-2138,Protein Synthesis,40.26,20.32,62.96,0.638,66.71,7.19,103.94,1.27,69.9,13.36,Failure
03-02-2026 21:30,BIO-2139,Radiation Biology,34.84,25.47,52.78,0.391,78.43,7.52,95.1,3.31,83.03,11.47,Success
03-02-2026 22:00,BIO-2140,Protein Synthesis,38.61,17.68,62.81,4.463,80.84,7.56,94.58,4.12,53.42,45.04,Failure
03-02-2026 22:30,BIO-2141,Tissue Engineering,36.47,14.29,75.72,0.404,54.68,7.58,106.73,1.46,66.39,14.63,Failure
03-02-2026 23:00,BIO-2142,Tissue Engineering,33.46,12.83,49.72,0.414,70.35,7.01,105.63,2.38,60.79,11.6,Failure
03-02-2026 23:30,BIO-2143,Radiation Biology,36.18,13.05,48.21,0.492,56.02,7.42,109.77,2.66,76.02,7.83,Success
04-02-2026 00:00,BIO-2144,Protein Synthesis,41.58,18.48,54.24,0.801,65.17,7.68,103.41,1.67,62.2,31.22,Failure
04-02-2026 00:30,BIO-2145,Drug Discovery,38.22,21.6,58.67,0.859,52.23,7.25,86.83,1.36,69.57,21.32,Failure
04-02-2026 01:00,BIO-2146,Stem Cell Research,38.97,19.42,,1.044,55.24,7.61,107.88,2.18,67.57,17.65,Failure
04-02-2026 01:30,BIO-2147,Stem Cell Research,38.23,26.18,64.06,2.656,80.55,7.99,88.69,1.72,33.48,51.51,Failure
04-02-2026 02:00,BIO-2148,Drug Discovery,36.92,19.25,60.42,0.925,88.49,7.2,101.77,5.54,96.38,14.12,Success
04-02-2026 02:30,BIO-2149,Protein Synthesis,34.91,19.88,61.42,1.029,74.71,7.13,108.52,2.56,50.6,15.83,Failure
04-02-2026 03:00,BIO-2150,Radiation Biology,36.96,24.83,57.98,0.486,72.01,7.55,94.97,1.97,56.78,19.78,Failure
04-02-2026 03:30,BIO-2151,Tissue Engineering,33.72,23.47,55.7,0.352,80.03,7.43,98.66,4.05,82.04,18.78,Success
04-02-2026 04:00,BIO-2152,Tissue Engineering,36.22,17.96,60.58,0.759,54.96,7.02,101.97,2.52,77.18,12.93,Success
04-02-2026 04:30,BIO-2153,Tissue Engineering,35.7,,48.7,0.754,64.17,7.25,99.36,2.23,63.35,14.01,Failure
04-02-2026 05:00,BIO-2154,Stem Cell Research,34.49,22.92,81.39,3.521,71.1,7.06,98.97,3.88,38.57,37.64,Failure
04-02-2026 05:30,BIO-2155,Protein Synthesis,35.01,18.19,54.71,0.989,49.95,7.24,98.66,1.54,62.94,13.98,Failure
04-02-2026 06:00,BIO-2156,Tissue Engineering,41.57,20.16,54.46,0.242,90.31,7.61,101.98,1.65,63.93,18.81,Failure
04-02-2026 06:30,BIO-2157,Stem Cell Research,36.99,16.48,55.03,3.334,72.81,7.19,99.79,2.89,56.14,35.52,Failure
04-02-2026 07:00,BIO-2158,Tissue Engineering,38.48,25.96,69.96,0.639,87.52,7.06,100.66,4.42,74.91,17.34,Success
04-02-2026 07:30,BIO-2159,Stem Cell Research,38.02,19.92,59.97,2.019,47.62,7.35,103.2,2.8,53.79,36.15,Failure
04-02-2026 08:00,BIO-2160,Tissue Engineering,37.47,23.95,80.05,0.828,82.09,7.43,99.86,4.24,84.69,13.72,Success
04-02-2026 08:30,BIO-2161,Stem Cell Research,36.9,18.61,50.23,4.09,81,7.08,96.94,2.77,42.96,24.87,Failure
04-02-2026 09:00,BIO-2162,Radiation Biology,37.02,21.41,69.31,0.59,63.38,7.55,103.88,1.94,66.51,16.05,Failure
04-02-2026 09:30,BIO-2163,Radiation Biology,33.68,23.2,62.72,0.829,73.03,7.37,101.91,2.83,66.81,20.14,Failure
04-02-2026 10:00,BIO-2164,Radiation Biology,37.78,26.05,66.63,0.652,88.53,6.86,104.61,3.11,71.43,4.44,Success
04-02-2026 10:30,BIO-2165,Drug Discovery,42.12,18.68,52.94,0.64,68.18,7.33,96.11,2.01,78.65,22.43,Failure
04-02-2026 11:00,BIO-2166,Drug Discovery,43,25.5,56.79,0.416,70.93,7.07,95.98,2.27,72.16,20.81,Success
04-02-2026 11:30,BIO-2167,Stem Cell Research,38.93,21.83,69.98,3.778,71.59,7.85,88.48,3.3,39.66,30.73,Failure
04-02-2026 12:00,BIO-2168,Radiation Biology,34.41,22.72,56.89,0.858,101.69,7.12,107.37,2.53,75.48,17.63,Success
04-02-2026 12:30,BIO-2169,Drug Discovery,33.14,19.11,74.69,0.936,85.04,7.26,105.24,2.75,71.93,22.96,Failure
04-02-2026 13:00,BIO-2170,Radiation Biology,41.02,22.35,79.78,2.832,56.1,7.14,97.28,0.59,41.93,43.07,Failure
04-02-2026 13:30,BIO-2171,Drug Discovery,37.7,24.24,47.4,3.583,65.56,7.57,103.47,3.64,34.12,44.45,Failure
04-02-2026 14:00,BIO-2172,Drug Discovery,38.03,16.04,62.68,0.777,96.3,7.27,108.49,3.27,75.2,8.84,Success
04-02-2026 14:30,BIO-2173,Protein Synthesis,35.37,23.67,57.85,2.223,67.96,7.31,95.6,2.53,33.91,42.16,Failure
04-02-2026 15:00,BIO-2174,Stem Cell Research,39.25,16.37,50.9,0.952,43.42,7.05,102.99,1.52,60.51,11.68,Failure
04-02-2026 15:30,BIO-2175,Tissue Engineering,37.35,19.28,60.05,2.729,76.14,7.75,106.19,3.11,38,37.61,Failure
04-02-2026 16:00,BIO-2176,Stem Cell Research,39.05,23.38,53.52,4.212,65.1,7.45,95.01,2.52,18.04,32.77,Failure
04-02-2026 16:30,BIO-2177,Stem Cell Research,36.91,,67.52,0.431,94.17,7.36,103.89,2.01,81.92,15.79,Success
04-02-2026 17:00,BIO-2178,Radiation Biology,32.9,21.47,49.98,0.811,121.14,7.25,108.36,4.76,90.53,17.4,Success
04-02-2026 17:30,BIO-2179,Stem Cell Research,41.2,14.7,62.59,1.03,62.64,7.38,95.96,2.18,66.65,11.6,Failure
04-02-2026 18:00,BIO-2180,Radiation Biology,31.94,18.51,59.86,0.517,93.89,6.99,102.74,4.65,84.19,21.16,Success
04-02-2026 18:30,BIO-2181,Tissue Engineering,32.46,21.46,71.63,0.765,74.73,7.4,92.76,1.76,76.72,26.88,Failure
04-02-2026 19:00,BIO-2182,Drug Discovery,35.38,20.48,62.53,0.871,76.19,7.18,100.02,3.41,80.99,15.01,Success
04-02-2026 19:30,BIO-2183,Drug Discovery,40.12,16.18,74.8,0.664,96.02,7.42,94.64,4.28,79.63,17.54,Success
04-02-2026 20:00,BIO-2184,Radiation Biology,37.23,18.99,69.06,0.133,74.86,7.21,103.18,2.49,85.16,12.45,Success
04-02-2026 20:30,BIO-2185,Tissue Engineering,38.18,22.86,67.97,0.391,91.41,7.26,110.94,4.85,82.04,8.84,Success
04-02-2026 21:00,BIO-2186,Protein Synthesis,37.68,17.04,82.77,0.656,77.39,7.36,108.26,4.38,85.11,12.21,Success
04-02-2026 21:30,BIO-2187,Radiation Biology,37.77,17.29,60.15,0.252,73.93,7.57,98.32,3.15,70.36,13.4,Success
04-02-2026 22:00,BIO-2188,Tissue Engineering,35.58,30.34,55.73,1.02,85.78,7.23,98.57,3.05,66.71,16.74,Failure
04-02-2026 22:30,BIO-2189,Drug Discovery,39.71,20.16,61.69,0.288,99.98,7.7,108.92,3.63,78.01,10.58,Success
04-02-2026 23:00,BIO-2190,Protein Synthesis,36.26,24.66,55.88,3.13,106.9,7.3,96.37,4.23,70.46,36.07,Failure
04-02-2026 23:30,BIO-2191,Stem Cell Research,37.85,26.05,57.8,0.228,61.93,7.16,91.34,2.09,77.53,4.58,Success
05-02-2026 00:00,BIO-2192,Stem Cell Research,34.95,20.41,,0.714,57.25,7.32,99.33,1.91,67.38,19.14,Failure
05-02-2026 00:30,BIO-2193,Radiation Biology,35.78,13.24,49.92,1.032,79.95,7.21,99.5,4.35,72.85,14.6,Success
05-02-2026 01:00,BIO-2194,Radiation Biology,36.27,21.44,59.44,0.232,68.55,7.29,101.9,2.56,81.73,5.66,Success
05-02-2026 01:30,BIO-2195,Protein Synthesis,32.89,18.07,51.47,0.488,83.86,7.32,107.78,2.21,73.83,11.37,Success
05-02-2026 02:00,BIO-2196,Stem Cell Research,37.01,24.93,60.83,2.713,38.7,6.99,103.71,1.57,37.19,29.8,Failure
05-02-2026 02:30,BIO-2197,Tissue Engineering,38.83,23.98,,0.732,60.4,7.66,107.23,2.22,66.65,11.33,Failure
